artist,n,mean_ml,offset,offset_shrunk,sd_fresh_log_error,median_fresh_ratio,median_locked_ratio,genres,characterize
Bob Moses,4,2000000.0,-0.5038698120967662,-0.22394213870967386,0.7724521155434103,0.5542885317314703,0.5551640883189481,"downtempo,house",True
RHYE,4,2699750.0,-0.21501073986358593,-0.09556032882826042,0.553198499315927,0.9912992236526469,0.9572978105758213,downtempo,True
Boogie T,3,526000.0,-0.024044211374691826,-0.009016579265509434,0.30291556221438315,1.0973550587159613,0.7849509440739992,"dubstep,melodic-bass",True
Griz,3,1659000.0,0.9933588027972707,0.37250955104897654,0.9420520488947439,1.8086189812354683,0.9041857679283098,dubstep,True
Joshwa,3,2000000.0,-0.40814848467725257,-0.15305568175396972,0.16921775458705304,0.6695065508777643,0.5823941176470588,house,True
KSHMR,3,4379000.0,-0.025965539437260914,-0.009737077288972842,0.24020784685882776,0.999588117485283,0.38094830204253266,big-room,True
Subtronics,3,3150000.0,-0.30303519300987086,-0.11363819737870157,1.5744180538557775,1.4313022658877697,1.2994565559055888,dubstep,True
Zomboy,3,541000.0,-0.08054518036770923,-0.03020444263789096,0.2611985949622189,0.8286556498004843,0.7626768304339514,"big-room,dubstep",True
Big Gigantic,2,876500.0,-0.14371887619379403,-0.041062536055369726,0.543366193201565,0.930852176461805,0.6670505219725736,dubstep,True
Caleb Jackson,2,50000.0,-1.7974600134038992,-0.5135600038296855,0.26887096106761327,0.16872333889172905,0.2180667861470974,house,True
Cedric Gervais,2,5545000.0,-1.6593382461643809,-0.47409664176125166,0.16903037316029418,0.19162549253151046,0.07555224521538415,house,True
Crankdat,2,1136000.0,0.7432266877959377,0.21235048222741076,0.07359231338650328,2.1055569875977707,2.3890489543157716,dubstep,True
Eazy Baked,2,102500.0,0.4526052640743168,0.12931578973551908,0.6804718192517493,1.757964583789163,1.7183694290501936,dubstep,True
Gramatik,2,819500.0,-0.9005130883440433,-0.2572894538125838,0.06159519652883293,0.4067465983112398,0.21145322503269648,"dubstep,melodic-bass",True
Hayden James,2,2666000.0,-0.5681678571449178,-0.1623336734699765,0.004082755051295869,0.5665648728279035,0.24831982200324687,house,True
LSDREAM,2,401500.0,0.1691304793921617,0.0483229941120462,0.5553434012092713,1.2767634892226176,0.9442622154139008,melodic-bass,True
O'Flynn,2,520000.0,-0.2612617432990185,-0.07464621237114814,0.865366431716378,0.9188045390999874,1.0647500688648093,house,True
Pretty Girl,2,204000.0,-1.2828655199966033,-0.3665330057133152,0.5686800648010022,0.29996017475854586,0.2999613613876017,house,True
AC Slater,1,537000.0,0.17704671237248848,0.029507785395414748,,1.193686851769674,0.9315327089232557,melodic-bass,False
BORGORE,1,630000.0,-0.8696754614927374,-0.14494591024878958,,0.41908753722352093,0.4434509877352308,house,False
CloZee,1,500000.0,0.4292798867517315,0.07154664779195526,,1.5361509225264223,0.8578229770734029,melodic-bass,False
Duke Dumot,1,4100000.0,1.2847076245785192,0.21411793742975319,,3.6136112716319175,2.4649195676816973,house,False
Elderbrook,1,8640000.0,0.1953706287668655,0.03256177146114425,,1.2157614991833365,1.1538294674884382,downtempo,False
Kasango,1,6200000.0,-3.864675661664671,-0.6441126102774452,,0.020969722619138823,0.02096970292409152,house,False
Kasbo,1,995000.0,0.8157496138949738,0.13595826898249563,,2.2608698167226313,1.5409548173827443,house,False
Level Up,1,430000.0,0.16452158331282654,0.02742026388547109,,1.1788290123123784,0.9499992015203054,house,False
Steller,1,126000.0,-0.1644604891477113,-0.02741008152461855,,0.8483512753640943,0.8165960089649772,melodic-bass,False
Zen Selekta,1,17000.0,-0.4475159456922907,-0.07458599094871511,,0.6392140234589385,0.8222193942479002,melodic-bass,False
Zingara,1,303000.0,0.3541342605803717,0.05902237676339528,,1.4249464877799372,1.2080210729390815,dubstep,False
Âme,1,473000.0,0.035671909029239716,0.005945318171539953,,1.0363157848565305,0.5424305190589545,house,False
