dimension,value,n,n_artists,top_artist,top_artist_share,median_cps,mean_cps,iqr,p25,p75,min,max,spend_weighted_cps,total_spend,total_streams,quote
all,usable_with_cps,149,16,Gramatik,0.1342281879194631,0.1601024655779699,0.1753849972260836,0.13690081003701676,0.08702263493905978,0.22392344497607655,0.023182492581602373,0.6906474820143885,0.10164563343167302,70975.08,698260.0,quote
format,marquee,82,15,Gramatik,0.2073170731707317,0.18379085500359688,0.20481153592193319,0.1893172961163066,0.08931346633018145,0.27863076244648805,0.023182492581602373,0.6906474820143885,0.12028076752358577,42544.39,353709.0,quote
format,showcase,67,13,Zomboy,0.16417910447761194,0.1314751511964239,0.13937042747892434,0.11437200446125899,0.06801238518131557,0.18238438964257456,0.02702556618561159,0.4057166190281748,0.08251518643103634,28430.69,344551.0,quote
genre,dubstep,63,7,Gramatik,0.2857142857142857,0.16223231667748214,0.18580696036052555,0.18318347553211967,0.08777785276865817,0.27096132830077785,0.023182492581602373,0.4833252779120348,0.11525669920031789,37127.41,322128.0,quote
genre,house,45,4,Borgore,0.37777777777777777,0.1857304643261608,0.20348256867184375,0.11583939743310567,0.12697090701654307,0.24281030444964874,0.028944474986256182,0.6906474820143885,0.13259357594539134,15831.01,119395.0,quote
genre,melodic-bass,12,2,LSDREAM,0.8333333333333334,0.15764371139100664,0.1751404016848468,0.18127213371981288,0.0368746516998852,0.21814678541969806,0.028229448961156277,0.49800796812749004,0.0546732288248876,4499.06,82290.0,directional
genre,downtempo,23,3,Rhye,0.5217391304347826,0.07554011179936547,0.10025818805921592,0.0677942331040765,0.0578656149576395,0.125659848061716,0.02702556618561159,0.24509803921568626,0.07262856906054453,10515.6,144786.0,quote
genre,big-room,6,1,KSHMR,1.0,0.15523669620067704,0.14369789136004116,0.022236335437411214,0.14664941117870994,0.16888574661612116,0.03497039359108325,0.19952114924181963,0.10121034354876775,3002.0,29661.0,directional
tier,developing,45,6,Âme,0.37777777777777777,0.13338947368421053,0.16570325041255005,0.1331744772052403,0.08346330442387581,0.21663778162911612,0.023182492581602373,0.6906474820143885,0.07796160840391497,17277.15,221611.0,quote
tier,mid,67,6,Gramatik,0.29850746268656714,0.1857304643261608,0.21327130862023072,0.1492560308357338,0.12898763691438508,0.2782436677501189,0.039763803010119884,0.49800796812749004,0.13661359930589836,36529.93,267396.0,quote
tier,established,37,5,Rhye,0.32432432432432434,0.09688681990107652,0.11855515244773632,0.1104557862519646,0.06097278517660683,0.17142857142857143,0.02702556618561159,0.32335329341317365,0.08204422397767296,17168.0,209253.0,quote
format×genre,marquee | dubstep,35,7,Gramatik,0.42857142857142855,0.22109219544550077,0.21319829200526028,0.204043371337851,0.08771998236784996,0.29176335370570095,0.023182492581602373,0.4833252779120348,0.1349815211048434,22206.079999999998,164512.0,quote
format×genre,marquee | house,30,4,Borgore,0.3333333333333333,0.19152347999259894,0.21150933385389573,0.15135541413381054,0.12352558312193336,0.2748809972557439,0.028944474986256182,0.6906474820143885,0.1256939294579107,12305.31,97899.0,quote
format×genre,marquee | melodic-bass,6,2,LSDREAM,0.6666666666666666,0.1266562991275165,0.21792389467290954,0.38864069714466754,0.03534123346971205,0.4239819306143796,0.028229448961156277,0.49800796812749004,0.04720454674194218,2500.0,52961.0,directional
format×genre,marquee | downtempo,9,2,Rhye,0.8888888888888888,0.13215859030837004,0.1452367776236053,0.08390805273294281,0.0979431929480901,0.18185124568103292,0.07554011179936547,0.24509803921568626,0.1376013113559785,4533.0,32943.0,directional
