dimension,value,n,median_ratio,iqr,mad,p25,p75,share_within_0.75_1.25,share_within_0.45_1.05,characterize
all,all,58,0.7421292185478205,0.6090955587491848,0.32248471936002654,0.3880659126539231,0.9971614714031078,0.3448275862068966,0.46551724137931033,True
release_type,single,30,0.8400211856606516,0.5799752486742218,0.28571767492068967,0.4526625877778354,1.0326378364520572,0.43333333333333335,0.5,True
release_type,alternate_version,10,0.4778974800471868,0.7533625749346263,0.3481769220980727,0.16618613467475077,0.9195487096093771,0.2,0.3,True
release_type,album_track,6,0.3959910188451803,0.35375326335802704,0.16916663440862303,0.2932888239911815,0.6470420873492085,0.0,0.16666666666666666,True
release_type,focus_track,6,0.7233081434936321,0.5123597706343714,0.28128063894468835,0.4681958705661617,0.9805556412005332,0.3333333333333333,0.5,True
release_type,lead_single,6,0.6661077272311884,0.3233245596399196,0.18187613073865294,0.5502026323947682,0.8735271920346878,0.5,0.8333333333333334,True
editorial_tier,1,33,0.5424305190589545,0.6041429588667575,0.2932857247994265,0.25368001820664543,0.8578229770734029,0.24242424242424243,0.42424242424242425,True
editorial_tier,0,15,0.924682299457053,0.31937995387088103,0.1397313553830538,0.686556853048097,1.005936806918978,0.6,0.6666666666666666,True
editorial_tier,2,10,1.0314114527181661,0.7484774885235922,0.43310652768618163,0.6498616921075585,1.3983391806311507,0.3,0.3,True
genre,house,20,0.419644499187794,0.37545316748455687,0.20317215449210888,0.2319835972213255,0.6074367647058824,0.05,0.25,True
genre,dubstep,18,0.9144340336926815,0.7032720135807713,0.355646896941697,0.6950671670503794,1.3983391806311507,0.3333333333333333,0.4444444444444444,True
genre,downtempo,8,0.8380609461214814,0.48974982661383326,0.22046263272864974,0.51595487719513,1.0057047038089633,0.625,0.625,True
genre,melodic-bass,8,0.8679494478016433,0.1304481118397518,0.057468349979139244,0.8208135479271694,0.9512616597669212,0.875,0.875,True
genre,big-room,4,0.4778974800471868,0.2726729700638077,0.16058331992259778,0.34913123108356087,0.6218042011473686,0.25,0.5,False
ml_band,2M+,24,0.5551640883189481,0.6805994120419916,0.3068442663157013,0.25254621221986606,0.9331456242618577,0.20833333333333334,0.375,True
ml_band,500k-2M,18,0.8213869605737011,0.4256746106269629,0.2565469564494477,0.5041454959297421,0.929820106556705,0.3888888888888889,0.5,True
ml_band,100k-500k,13,0.9499992015203054,0.4518715158145755,0.2580218714187761,0.5881627620221949,1.0400342778367704,0.5384615384615384,0.6153846153846154,True
ml_band,<100k,3,0.29911206546340896,0.34259894370855715,0.1620905586326231,0.2180667861470974,0.5606657298556545,0.3333333333333333,0.3333333333333333,False
is_feature,False,32,0.8007734765194883,0.4441063176544173,0.23080664740991375,0.5197936292867489,0.9638999469411662,0.46875,0.59375,True
is_feature,True,26,0.6143297697861152,0.7735837589235385,0.3949984249066556,0.22721245930019643,1.0007962182237349,0.19230769230769232,0.3076923076923077,True
multi_artist,False,49,0.7215816066616898,0.5355263183895064,0.2888669056362281,0.414472883130799,0.9499992015203054,0.3673469387755102,0.5102040816326531,True
multi_artist,True,9,0.7626768304339514,2.078008931223133,0.6402572213665091,0.13702150683078587,2.215030438053919,0.2222222222222222,0.2222222222222222,True
artist,Bob Moses,4,0.5551640883189481,0.13961674903912952,0.11094363891224024,0.4759806146601187,0.6155973636992482,0.25,0.75,False
artist,Rhye,4,0.9572978105758213,0.23181999827839372,0.04850941383835672,0.7738847055305695,1.0057047038089633,0.75,0.75,False
artist,Boogie T,3,0.7849509440739992,0.22593575790728782,0.19678818205180437,0.686556853048097,0.9124926109553848,0.6666666666666666,1.0,False
artist,Griz,3,0.9041857679283098,0.9980446082373484,0.18260416126662005,0.8128836872949998,1.8109282955323482,0.3333333333333333,0.6666666666666666,False
artist,Joshwa,3,0.5823941176470588,0.1295705882352941,0.10017058823529412,0.5029088235294118,0.6324794117647059,0.0,0.6666666666666666,False
artist,KSHMR,3,0.38094830204253266,0.16058331992259778,0.12726828383588723,0.317314160124589,0.4778974800471868,0.0,0.3333333333333333,False
artist,Subtronics,3,1.2994565559055888,0.6544402232361145,0.13184349963408248,0.7109380824865156,1.36537830572263,0.0,0.0,False
artist,Zomboy,3,0.7626768304339514,0.09215421854821249,0.07644780992067546,0.7244529254736136,0.8166071440218261,0.6666666666666666,1.0,False
