release_id,track_name,artist,genre,release_type,is_feature,editorial_tier,release_dow,editorial_day,wk1_streams,wk1_saves,d1_streams,d1_share,wk2_streams,wk2_complete,decay_wk2,wk3_streams,wk3_days,wk3_complete,decay_wk3,save_rate
d1007c54-44c1-4864-bb54-f06eb508a75e,Bass Down Low,KSHMR,big-room,alternate_version,True,1,Fri,1,111467,5729,24475,0.2195717118070819,46544,True,0.4175585599325361,20819,4,False,,5.139637740317762
f943607f-0f5f-42fb-a138-fd5907ad7b80,Khoye Yahaan Reimagined,KSHMR,big-room,alternate_version,False,0,Fri,1,98312,3847,34100,0.3468549108959232,20254,True,0.20601757669460494,6754,3,False,,3.9130523232158843
cb8923f0-5d68-4ee9-82c0-21beb068c216,Ultra Love RYOS Remix,KSHMR,big-room,alternate_version,True,1,Fri,1,146763,4249,38603,0.2630295101626432,57126,True,0.38923979477116166,29205,4,False,,2.8951438714117317
06559c79-4f6b-4652-82fe-105f069045ab,Valley Of Violence - Borgore Remix,Zomboy,big-room,alternate_version,False,1,Fri,1,63833,6263,18783,0.29425218930647157,19548,True,0.30623658609183335,6595,3,False,,9.811539485845879
5ec3f0bc-0cd3-4dcb-b9cd-5433b27b134d,Close Your Mouth,Rhye,downtempo,lead_single,False,1,Thu,2,195298,11468,19307,0.09885917930547164,134669,True,0.6895564726725312,57200,3,False,,5.872051941136109
db228801-1892-4dc7-8bc2-d440f8b4498d,Fatal,RHYE,downtempo,focus_track,False,1,Fri,1,200290,12097,56506,0.2821209246592441,120292,True,0.6005891457386789,54520,3,False,,6.03974237355834
59d045b2-c9ed-45bb-ae34-9b3c2a0cd90f,Higher Ground,Bob Moses,downtempo,album_track,False,2,Fri,1,64121,25278,10661,0.1662637825361426,37621,True,0.5867188596559629,11212,4,False,,39.42234213440214
8988c2a1-11fb-4d6c-abbd-7822e3189a3c,Hold On,Rhye,downtempo,lead_single,False,2,Thu,2,246709,16555,18234,0.07390893724995845,199638,True,0.8092043662776793,80662,3,False,,6.71033484793826
5262a673-1e75-434a-a410-64153311fc64,Is it over Now?,Elderbrook,downtempo,single,False,2,Thu,2,515951,21477,158270,0.3067539359357768,224522,True,0.4351614785124944,66525,3,False,,4.162604588420218
753c1cbc-c4ec-438a-8381-e286f7d77643,Merida,Rhye,downtempo,album_track,False,1,Fri,1,51509,7030,8719,0.16927138946591858,42968,True,0.8341843173037722,15891,3,False,,13.64810033198082
c49119e6-b37b-434d-a6c0-040fef4f8b59,On My Mind,Bob Moses,downtempo,lead_single,True,1,Wed,3,242039,16344,16433,0.06789401707989208,223866,True,0.9249170588210991,82182,3,False,,6.752630774379336
fa462427-e169-4f27-8642-fa43949bbc2c,leave like this,bob moses,downtempo,lead_single,False,2,Wed,3,135101,10605,8632,0.06389293935648145,109563,True,0.8109710512875552,34771,3,False,,7.849682829882829
03cdf258-6b2e-42c9-8250-4ad3041506f1,Bass Cannon (Flux's Version) - Crankdat Remix,Crankdat,dubstep,alternate_version,True,1,Thu,2,226684,27766,26524,0.11700869933475676,149714,True,0.660452435990189,54682,3,False,,12.248769211766158
f4b1e800-ba7e-4175-9b8a-7a8c96346890,Bromance is Dead,Zomboy,dubstep,single,False,1,Fri,1,84712,14950,25031,0.29548352063462086,34591,True,0.40833648125413163,12785,3,False,,17.648030975540653
2e74db2b-efb6-4170-b002-35a50e2ebff3,Certified - sumthin sumthin Remix,Eazy Baked,dubstep,alternate_version,True,0,Thu,2,26228,3242,2507,0.09558487113008998,17588,True,0.6705810584108586,6236,3,False,,12.360835748055512
1825a25b-0767-45ee-8b92-031a2129802d,Eyes Cut Deeper,Subtronics,dubstep,single,True,2,Fri,1,744126,76078,183052,0.245995973800136,459030,True,0.6168713363059481,158646,3,False,,10.22380618336142
c41f626b-5ae4-4264-aa9e-a19277cb4068,Eyes Cut Deeper - Mport Remix,Subtronics,dubstep,alternate_version,True,1,Mon,5,16077,4239,2788,0.17341543820364497,5962,True,0.3708403309075076,1925,3,False,,26.36685948871058
e3573939-bfd3-4f1e-8358-614c6d55f590,Fall Back To Nothing,Subtronics,dubstep,single,True,2,Fri,1,435526,51065,95433,0.2191212464927467,310178,True,0.7121916946405037,113820,3,False,,11.7249027612588
55c97458-59cb-48ec-b2bf-2e55b5c5a9d3,Fresh Baked Bread,Eazy Baked,dubstep,single,True,0,Fri,1,83040,10896,21469,0.25853805394990365,38002,True,0.4576348747591522,14325,3,False,,13.121387283236993
014cb496-a6b7-4808-b802-9b2e2ae58197,Its Called Freefall (Griz Remix),Griz,dubstep,alternate_version,True,0,Wed,3,419766,37583,24574,0.05854214014474731,335027,True,0.7981280046502098,179659,4,False,,8.95332161251745
8ab72135-362c-450a-8881-3348ce4401ad,Lotis Eater,Boogie T,dubstep,single,False,0,Fri,1,69925,9625,15810,0.22609939220593492,47725,True,0.6825169824812299,16841,3,False,,13.764747944225956
5d01b98b-fcd5-4847-b4e3-dbc34504d61b,Marathon,Boogie T,dubstep,single,False,0,Fri,1,31482,3641,3626,0.11517692649768121,25702,True,0.8164030239501937,7138,3,False,,11.56533892382949
7452a9ac-7a07-43ca-a2f5-6a180bc6238e,Movement,Crankdat,dubstep,single,False,2,Wed,3,468885,47288,100008,0.21328897277584055,295095,True,0.6293547458332001,111679,3,False,,10.085202128453671
9152aade-80de-4330-aca1-272ed1dca802,Psychedelic Symphony,Big Gigantic,dubstep,single,False,0,Fri,1,78512,12252,19323,0.24611524352965153,53463,True,0.6809532300794783,32741,3,False,,15.605257794986754
6b964a04-af53-4c4d-86b1-7347d698a705,Rump Shaker,Griz,dubstep,focus_track,True,2,Thu,2,392498,44344,122503,0.3121111445153861,127140,True,0.32392521745333736,51190,3,False,,11.297891963780707
d8f0f831-841f-4743-8ddb-4a413ab68512,Telekinesis,Zingara,dubstep,single,False,0,Wed,3,65122,9825,3380,0.05190258284450723,57242,True,0.8789963453210896,24299,3,False,,15.087067350511349
e1640e4a-2059-4629-914b-c2bbb585d2db,The Montauk,gramatik,dubstep,single,True,1,Fri,1,47618,3227,13678,0.28724431937502626,16571,True,0.34799865597043134,8097,4,False,,6.776849090679995
2cf739fc-b447-4052-a87a-d58fc0b115ef,Time Machine,Zomboy,dubstep,single,True,1,Fri,1,123642,13092,34764,0.2811665938758674,60477,True,0.48912990731304895,20805,3,False,,10.588634929878197
c688c0c1-ce26-44b9-a3fd-1411352daa0c,When I'm Hot,Griz,dubstep,album_track,True,1,Fri,1,225215,36009,68609,0.30463779055569123,75951,True,0.33723775059387695,23435,3,False,,15.988721887973714
a0825241-32a2-4574-8f6e-339fcbe9df0c,beautiful colors,big gigantic,dubstep,single,True,2,Fri,1,127667,11636,33116,0.25939357860684437,78046,True,0.6113247746089436,30485,3,False,,9.114336516092647
d81bd447-4dd9-47a6-ae1a-25e25a7833b8,Ashiko,O'Flynn,house,lead_single,False,1,Fri,1,47407,2419,12280,0.25903347606893495,39448,True,0.8321134009745397,25325,4,False,,5.102621975657604
