dimension,value,n,n_artists,top_artist,top_artist_n,top_artist_share,n_d1,d1_median,d1_mean,d1_iqr,d1_p25,d1_p75,n_decay_wk2,decay_wk2_median,decay_wk2_mean,decay_wk2_iqr,decay_wk2_p25,decay_wk2_p75,n_decay_wk3,decay_wk3_median,n_save,save_median,save_mean,save_iqr,save_p25,save_p75,characterize_d1,characterize_decay,characterize_save
all,all,58,30,RHYE,4,0.06896551724137931,58,0.23550630480112944,0.20953632301596842,0.11546560464474565,0.16045418777606124,0.2759197924208069,58,0.6140980554574459,0.6383577428483023,0.3351623276554822,0.4615694824720204,0.7967318101275026,0,,58,9.773287952571415,10.625526156712564,5.874390450387663,6.72045773574852,12.594848186136183,True,True,True
genre,dubstep,18,9,Subtronics,3,0.16666666666666666,18,0.23604768300303547,0.20893480491517097,0.14461295600663285,0.1311103840519788,0.27572334005861165,18,0.6231130410695741,0.5829376028068517,0.26146496475040526,0.4206610796303868,0.682126044380792,0,,18,11.986835986512478,12.917886766381114,4.441474128949386,10.315013369990615,14.75648749894,True,True,True
genre,house,20,13,Joshwa,3,0.15,20,0.23280668381669084,0.1984848439285728,0.10656379175691591,0.14564769053863744,0.25221148229555335,20,0.6971512805480842,0.7627530875214114,0.27083627926885734,0.5549812364213369,0.8258175156901942,0,,20,7.572938831348189,8.977209460620395,4.045650827881491,5.990001486591223,10.035652314472713,True,True,True
genre,melodic-bass,8,7,LSDREAM,2,0.25,8,0.2563727588003688,0.2587387425150789,0.05307754886571597,0.22704572245688098,0.28012327132259696,8,0.5491547748027019,0.5333069020612575,0.20877431065293361,0.4033859833603095,0.6121602940132431,0,,8,10.68241342222083,11.499687854946439,3.5926777073596003,9.560705722846057,13.153383430205658,True,True,True
genre,downtempo,8,3,RHYE,4,0.5,8,0.1325614809208071,0.15362063819861072,0.12507856605680812,0.07240520720744185,0.19748377326424996,8,0.7493804194751053,0.7114128437837217,0.21965279357360956,0.5971215742179999,0.8167743677916095,0,,8,6.731482811158798,11.307186227712258,3.3014674399545436,5.997819765452783,9.299287205407326,True,True,True
genre,big-room,4,2,KSHMR,3,0.75,4,0.2786408497345574,0.28092708054302995,0.05523780913008158,0.2521650605737529,0.30740286970383446,4,0.3477381904314975,0.329763129372534,0.11513765231897899,0.28118183374252625,0.39631948606150524,0,,4,4.526345031766823,5.439843355197814,2.6490379664349453,3.6585752102648463,6.307613176699792,False,False,False
genre×artist,house | Joshwa,3,1,Joshwa,3,1.0,3,0.23948811700182815,0.2364897936298742,0.014946852427195512,0.22976594825926494,0.24471280068646045,3,0.6863757108083267,0.6514947577302863,0.07387256909657558,0.6232787114515086,0.6971512805480842,0,,3,7.70147565323664,7.31094685783194,1.0141277702057723,6.901515171580229,7.915642941786001,False,False,False
genre×artist,dubstep | Subtronics,3,1,Subtronics,3,1.0,3,0.2191212464927467,0.21284421949884255,0.03629026779824551,0.19626834234819585,0.23255861014644136,3,0.6168713363059481,0.5666344539513198,0.17067568186649795,0.4938558336067279,0.6645315154732259,0,,3,11.7249027612588,16.105189477776932,8.071526652674578,10.974354472310111,19.04588112498469,False,False,False
genre×artist,dubstep | Griz,3,1,Griz,3,1.0,3,0.30463779055569123,0.22509702507194151,0.1267845021853194,0.18158996535021926,0.30837446753553865,3,0.33723775059387695,0.48643032423247473,0.23710139359843624,0.33058148402360715,0.5676828776220434,0,,3,11.297891963780707,12.079978488090623,3.5177001377281325,10.125606788149078,13.64330692587721,False,False,False
genre×artist,big-room | KSHMR,3,1,KSHMR,3,1.0,3,0.2630295101626432,0.27648537762188274,0.06364159954442061,0.24130061098486255,0.30494221052928316,3,0.38923979477116166,0.3376053104661009,0.10577049161896557,0.2976286857328833,0.4033991773518489,0,,3,3.9130523232158843,3.98261131164846,1.122246934453015,3.404098097313808,4.526345031766823,False,False,False
genre×artist,downtempo | RHYE,4,1,RHYE,4,1.0,4,0.1340652843856951,0.1560401076701482,0.10486215447265662,0.09262161879159334,0.19748377326424996,4,0.7493804194751053,0.7333835754981655,0.14813471309513437,0.6673146409390681,0.8154493540342025,0,,4,6.3750386107483,8.067557373653381,2.4469564534961163,5.997819765452783,8.444776218948899,False,False,False
genre×artist,downtempo | Bob Moses,3,1,Bob Moses,3,1.0,3,0.06789401707989208,0.09935024632417204,0.05118542158983057,0.06589347821818677,0.11707889980801733,3,0.8109710512875552,0.7742023232548725,0.16909909958256808,0.6988449554717591,0.8679440550543271,0,,3,7.849682829882829,18.008218579554768,16.334855680011405,7.301156802131082,23.636012482142487,False,False,False
release_dow,Mon,1,1,Subtronics,1,1.0,1,0.17341543820364497,0.17341543820364497,0.0,0.17341543820364497,0.17341543820364497,1,0.3708403309075076,0.3708403309075076,0.0,0.3708403309075076,0.3708403309075076,0,,1,26.36685948871058,26.36685948871058,0.0,26.36685948871058,26.36685948871058,False,False,False
release_dow,Tue,1,1,Level Up,1,1.0,1,0.052615653577192036,0.052615653577192036,0.0,0.052615653577192036,0.052615653577192036,1,1.1495091447014525,1.1495091447014525,0.0,1.1495091447014525,1.1495091447014525,0,,1,16.26714631522324,16.26714631522324,0.0,16.26714631522324,16.26714631522324,False,False,False
