Platform,Artist,Release / Link,Window start,Window end,Service,Click-throughs,Share %,Is aggregate row
Linkfire,Âme & Busiswa,Pha Na Pha,2025-10-29,2026-08-04,Spotify,227,26,no
Linkfire,Âme & Busiswa,Pha Na Pha,2025-10-29,2026-08-04,Spotify Pre Release,178,21,no
Linkfire,Âme & Busiswa,Pha Na Pha,2025-10-29,2026-08-04,Beatport,139,16,no
Linkfire,Âme & Busiswa,Pha Na Pha,2025-10-29,2026-08-04,15 Others,321,6,yes
Linkfire,Jepe,Monza,2026-01-27,2026-08-04,Spotify,79,41,no
Linkfire,Jepe,Monza,2026-01-27,2026-08-04,Beatport,37,19,no
Linkfire,Jepe,Monza,2026-01-27,2026-08-04,Apple Music,23,12,no
Linkfire,Jepe,Monza,2026-01-27,2026-08-04,10 Others,54,1,yes
Linkfire,Âme & RY X,Love Is The Dance,2026-02-12,2026-08-04,Spotify,435,32,no
Linkfire,Âme & RY X,Love Is The Dance,2026-02-12,2026-08-04,Spotify Pre Release,278,20,no
Linkfire,Âme & RY X,Love Is The Dance,2026-02-12,2026-08-04,Beatport,234,17,no
Linkfire,Âme & RY X,Love Is The Dance,2026-02-12,2026-08-04,13 Others,422,5,yes
Linkfire,Selim Sivade & Barbara Nicole,Savage EP,2026-03-16,2026-08-04,Spotify,326,60,no
Linkfire,Selim Sivade & Barbara Nicole,Savage EP,2026-03-16,2026-08-04,Beatport,65,12,no
Linkfire,Selim Sivade & Barbara Nicole,Savage EP,2026-03-16,2026-08-04,Apple Music,52,10,no
Linkfire,Selim Sivade & Barbara Nicole,Savage EP,2026-03-16,2026-08-04,11 Others,103,3,yes
Linkfire,Innervisions (VA),Secret Weapons Part 18,2026-04-21,2026-08-04,Spotify,1316,37,no
Linkfire,Innervisions (VA),Secret Weapons Part 18,2026-04-21,2026-08-04,Spotify Pre Release,637,18,no
Linkfire,Innervisions (VA),Secret Weapons Part 18,2026-04-21,2026-08-04,Apple Music,414,12,no
Linkfire,Innervisions (VA),Secret Weapons Part 18,2026-04-21,2026-08-04,15 Others,1182,8,yes
Linkfire,Âme,Pha Na Pha (TSHA Remix),2026-06-04,2026-08-04,Spotify,127,39,no
Linkfire,Âme,Pha Na Pha (TSHA Remix),2026-06-04,2026-08-04,Spotify Pre Release,45,14,no
Linkfire,Âme,Pha Na Pha (TSHA Remix),2026-06-04,2026-08-04,Apple Music,38,12,no
Linkfire,Âme,Pha Na Pha (TSHA Remix),2026-06-04,2026-08-04,11 Others,117,6,yes
Linkfire,Jimi Jules,Whisper To Me feat. Modern Tales,2026-07-08,2026-08-04,Spotify Pre Release,2156,40,no
Linkfire,Jimi Jules,Whisper To Me feat. Modern Tales,2026-07-08,2026-08-04,Spotify,928,17,no
Linkfire,Jimi Jules,Whisper To Me feat. Modern Tales,2026-07-08,2026-08-04,Apple Music Pre Release,555,10,no
Linkfire,Jimi Jules,Whisper To Me feat. Modern Tales,2026-07-08,2026-08-04,15 Others,1756,21,yes
Linkfire,Crankdat,Movement,2026-03-13,2026-08-04,Spotify,29257,62,no
Linkfire,Subtronics,Eyes Cut Deeper,2026-04-16,2026-08-04,Spotify,19224,41,no
Linkfire,Rhye,JOY,2026-06-09,2026-08-04,Spotify Pre Release,291,55,no
Linkfire,Rhye,JOY,2026-06-09,2026-08-04,Apple Music Pre Release,79,15,no
Linkfire,Rhye,JOY,2026-06-09,2026-08-04,Spotify,74,14,no
Linkfire,Rhye,JOY,2026-06-09,2026-08-04,8 Others,85,6,yes
Linkfire,Subtronics,Fall Back To Nothing (feat. Saint Monet),2026-07-01,2026-08-04,Spotify,39130,82,no
Create Music Group,Pretty Girl,Body Step,2026-07-05,2026-08-04,Spotify,164,57.1,no
Create Music Group,Pretty Girl,Body Step,2026-07-05,2026-08-04,YouTube,49,17.1,no
Create Music Group,Pretty Girl,Body Step,2026-07-05,2026-08-04,Apple Music,26,9.1,no
Create Music Group,Pretty Girl,Body Step,2026-07-05,2026-08-04,TIDAL,14,4.9,no
Create Music Group,Pretty Girl,Body Step,2026-07-05,2026-08-04,SoundCloud,13,4.5,no
Create Music Group,Pretty Girl,Body Step,2026-07-05,2026-08-04,Pandora,6,2.1,no
