Platform,Artist,Release / Link,Link URL,Window start,Window end,Visits,Unique users,Click-throughs,CTR %,Bounce rate %,Streams,Streams per click-through,Items sold,Items per click-through,Pre-saves,Pre-saves delivered,Artist follows,Emails captured,Countries tracked,Top country,Top country visits,Top service,Top service clicks,Record status,Notes,Source screenshot
Linkfire,Âme & Busiswa,Pha Na Pha,lnk.to/Ame_Busiswa_Pha_Na_Pha,2025-10-29,2026-08-04,5129,,865,16.86,83.14,59,0.07,125,0.14,,,,,72,Mexico,2154,Spotify,227,OK,,3_27_57
Linkfire,Jepe,Monza,lnk.to/Jepe_-_Monza,2026-01-27,2026-08-04,3715,,193,5.2,94.78,22,0.11,5,0.03,,,,,53,Mexico,916,Spotify,79,OK,,3_27_44
Linkfire,Âme & RY X,Love Is The Dance,lnk.to/Ame_RYX_-_Love_Is_The_Dance,2026-02-12,2026-08-04,8107,,1369,16.89,83.08,,0.1,,0.18,,,,,90,Mexico,2422,Spotify,435,OK,"Headline tiles had not loaded; visits recovered from channel total, click-throughs from service sum (verified against CTR). Streams and items sold not recoverable.",3_27_32
Linkfire,Selim Sivade & Barbara Nicole,Savage EP,lnk.to/SelimSivade_BarbaraNicole_-_Savage_EP,2026-03-16,2026-08-04,3113,,546,17.54,82.46,52,0.1,46,0.08,,,,,56,Mexico,1128,Spotify,326,OK,,3_27_15
Linkfire,Innervisions (VA),Secret Weapons Part 18,lnk.to/Secret_Weapons_Part_18,2026-04-21,2026-08-04,15133,,3549,23.45,76.53,1085,0.31,470,0.13,,,,,94,Mexico,3124,Spotify,1316,OK,,3_26_40
Linkfire,Âme,Pha Na Pha (TSHA Remix),lnk.to/PhaNaPha_TSHA_Remix,2026-06-04,2026-08-04,1948,,327,16.79,83.16,16,0.05,50,0.15,,,,,49,US,414,Spotify,127,OK,,3_26_12
Linkfire,Jimi Jules,Whisper To Me feat. Modern Tales,lnk.to/Jimi_Jules_-_Whisper_To_Me_ft._Modern_Tales,2026-07-08,2026-08-04,8522,,5395,63.31,36.67,249,0.05,1498,0.28,,,,,101,Mexico,1790,Spotify Pre Release,2156,OK,,3_25_50
Linkfire,Crankdat,Movement,crankdis.lnk.to/movement,2026-03-13,2026-08-04,47302,,47301,100.0,0.0,0,0,0,0,,,,,61,US,46981,Spotify,29257,OK,"Spotify-first auto-routing link: ~100% CTR, ~0% bounce, no on-page streams. Service list truncated in screenshot (only Spotify shown).",3_22_30
Linkfire,Subtronics,Eyes Cut Deeper,Subtronics.lnk.to/eyescutdeeper,2026-04-16,2026-08-04,46830,,46809,99.96,0.04,0,0,0,0,,,,,61,US,46494,Spotify,19224,OK,Spotify-first auto-routing link. Service list truncated in screenshot (only Spotify shown).,3_21_39
Linkfire,Rhye,JOY,rhyemusic.lnk.to/JOY,2026-06-09,2026-08-04,1486,,529,35.6,62.05,3,0.01,165,0.31,,,,,64,US,495,Spotify Pre Release,291,OK,,3_20_48
Linkfire,Subtronics,Fall Back To Nothing (feat. Saint Monet),Subtronics.lnk.to/fallbacktonothing,2026-07-01,2026-08-04,47652,,47666,100.03,0.0,0,0,0,0,,,,,51,US,47497,Spotify,39130,OK,Spotify-first auto-routing link. Click-throughs exceed visits (CTR 100.03%) - Linkfire counting quirk. Service list truncated (only Spotify shown).,3_19_46
Create Music Group,Pretty Girl,Body Step,createmusic.fm/bodystep,2026-06-02,2026-08-04,20067,14104,417,2.08,,,,,,83,80,49,42,12,"instagram.com (referrer, not country)",14340,,,PRIMARY - widest window,Pre-save platform; 'visits' and 'clicks to service' are the closest analogues to Linkfire visits/click-throughs.,2_39_17
Create Music Group,Pretty Girl,Body Step,createmusic.fm/bodystep,2026-07-05,2026-08-04,19922,14007,287,1.44,,,,,,4,4,3,1,3,"instagram.com (referrer, not country)",14244,Spotify,164,SUBSET of the Jun 2 window - DO NOT SUM,Pre-save platform; 'visits' and 'clicks to service' are the closest analogues to Linkfire visits/click-throughs.,3_12_50
