Ad account,Currency,Reporting starts,Reporting ends,Campaign name,Campaign delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent,Ends,Impressions,CPM,Link clicks,shop_clicks,CPC (link click),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all),Landing page views,Cost per landing page view,Results (initial),Results (initial) indicator
Boogie-T,USD,2023-07-04,2026-08-04,"BOOGIE T.RIO - ""Live From Spring Adventure"" Release (Boogie T Page)",completed,7-day click or 1-day view,3331,video_thruplay_watched_actions,26241,1.48146,0.04503152,Using ad set budget,0,150,2023-09-27,38875,3.858521,254,,0.590551,0.653376,1393,3.58328,0.107681,1,150,,
Boogie-T,USD,2023-07-04,2026-08-04,"BOOGIE T.RIO - ""Live From Spring Adventure"" Release (Boogie T.rio Page) - Copy",completed,7-day click or 1-day view,1886,video_thruplay_watched_actions,10935,1.341198,0.05301697,Using ad set budget,0,99.99,2023-09-27,14666,6.81781,61,,1.63918,0.415928,304,2.072821,0.328914,,,,
Boogie-T,USD,2023-07-04,2026-08-04,Boogie T.rio - Live Album (Boost),completed,7-day click or 1-day view,10323,actions:post_engagement,17463,1.672049,0.00968711,Using ad set budget,0,100,2023-09-28,29199,3.424775,232,,0.431034,0.794548,953,3.26381,0.104932,,,,
Boogie-T,USD,2023-07-04,2026-08-04,Boogie T x Skellytn - Choppa Release (Awareness),completed,7-day click or 1-day view,12477,video_thruplay_watched_actions,51710,1.464108,0.02003607,250,Lifetime,249.99,2025-01-02,75709,3.301985,151,,1.655563,0.199448,1907,2.518855,0.131091,124,2.016048,,
Boogie-T,USD,2023-07-04,2026-08-04,Boogie T x Izzy Vadim - Psych Release (Awareness),completed,7-day click or 1-day view,26960,video_thruplay_watched_actions,63671,1.469978,0.01298108,350,Lifetime,349.97,2025-03-31,93595,3.739195,492,,0.711321,0.525669,2692,2.876222,0.130004,422,0.829313,,
Boogie-T,USD,2023-07-04,2026-08-04,Boogie T & ill.Gates - WhatUWant EP (Awareness),completed,7-day click or 1-day view,15064,video_thruplay_watched_actions,54738,1.407103,0.01658922,250,Lifetime,249.9,2025-08-12,77022,3.244528,117,,2.135897,0.151905,1709,2.218847,0.146226,49,5.1,,
Boogie-T,USD,2023-07-04,2026-08-04,Boogie T x Mr. Bill - StepBroStep EP,completed,7-day click or 1-day view,8286,video_thruplay_watched_actions,42473,1.318626,0.03015568,250,Lifetime,249.87,2025-09-22,56006,4.461486,91,,2.745824,0.162483,887,1.583759,0.281702,40,6.24675,,
Boogie-T,USD,2023-07-04,2026-08-04,Boogie T - Lotis Eater (Awareness),completed,7-day click or 1-day view,10628,video_thruplay_watched_actions,38055,2.166627,0.02349925,250,Lifetime,249.75,2026-02-27,82451,3.029072,112,,2.229911,0.135838,1520,1.843519,0.164309,64,3.902344,,
Boogie-T,USD,2023-07-04,2026-08-04,Boogie T - Walk With Giants EP,completed,7-day click or 1-day view,12611,video_thruplay_watched_actions,54120,1.376681,0.01978114,250,Lifetime,249.46,2026-03-27,74506,3.348187,113,,2.207611,0.151666,1317,1.767643,0.189415,50,4.9892,,
Boogie-T,USD,2023-07-04,2026-08-04,Boogie T - Steppin (Traffic),completed,7-day click or 1-day view,2438,actions:omni_landing_page_view,25266,1.400222,0.10221083,250,Lifetime,249.19,2026-07-03,35378,7.043643,2638,,0.094462,7.456611,3804,10.752445,0.065507,2438,0.102211,,
