artist,release,release_key,campaign_uid,platform_format,release_type,country,currency,spend_local,spend_usd,reach,clicks,converted_listeners,active_streams_per_listener,est_attributed_streams,cost_per_converted_listener_usd,cost_per_attributed_stream_usd,conversion_rate_pct,click_rate_pct,release_date,start_date,end_date,days_release_to_campaign,campaign_days,year,segment_targeting,usable_for_modeling,exclusion_reason
Big Gigantic,Fluorescence,fluorescence,Fluorescence | United States | 5/12/25,Marquee,SINGLE,United States,USD,500.0,500.0,10849.0,1090.0,967.0,3.14,3036,0.5171,0.16467,8.9,10.047,2025-05-09,2025-05-12,2025-05-13,3,1,2025,Total,yes,
Big Gigantic,Friends,friends,Friends | United States | 5/2/25,Showcase,SINGLE,United States,USD,993.6,993.6,58269.0,2070.0,1243.0,1.97,2449,0.7994,0.40576,2.15,3.552,2019-08-16,2025-05-02,2025-05-16,2086,14,2025,Total,yes,
Big Gigantic,Funk Rocket,funk rocket,Funk Rocket | United States | 3/2/26,Marquee,SINGLE,United States,USD,500.0,500.0,12128.0,1354.0,1128.0,1.88,2121,0.4433,0.23578,9.17,11.164,2026-02-20,2026-03-02,2026-03-03,10,1,2026,Total,yes,
Big Gigantic,Hot Mic,hot mic,Hot Mic | United States | 12/18/25,Marquee,SINGLE,United States,USD,250.0,250.0,3756.0,677.0,495.0,1.81,896,0.5051,0.27903,13.13,18.024,2025-12-12,2025-12-18,2025-12-19,6,1,2025,Total,yes,
Big Gigantic,Hot Mic,hot mic,Hot Mic | United States | 12/18/25,Showcase,SINGLE,United States,USD,250.0,250.0,10986.0,834.0,699.0,1.72,1202,0.3577,0.20794,6.38,7.591,2025-12-12,2025-12-18,2025-12-20,6,2,2025,Total,yes,
Bob Moses,BLINK,blink,BLINK | United States | 2/16/26 #1,Showcase,ALBUM,United States,USD,150.0,150.0,16367.0,698.0,553.0,5.98,3307,0.2712,0.04536,3.38,4.265,2025-10-17,2026-02-16,2026-02-17,122,1,2026,Previously Active,yes,
Bob Moses,BLINK,blink,BLINK | United States | 2/16/26 #2,Showcase,ALBUM,United States,USD,150.0,150.0,15554.0,696.0,538.0,6.27,3373,0.2788,0.04447,3.48,4.475,2025-10-17,2026-02-16,2026-02-17,122,1,2026,Previously Active,yes,
Bob Moses,BLINK,blink,BLINK | United States | 3/2/26,Showcase,ALBUM,United States,USD,1852.0,1852.0,272135.0,8419.0,6497.0,6.01,39047,0.2851,0.04743,2.42,3.094,2025-10-17,2026-03-02,2026-03-16,136,14,2026,Previously Active,yes,
Bob Moses,Love Brand New,love brand new,Love Brand New | United States | 4/1/25,Showcase,SINGLE,United States,USD,250.0,250.0,14001.0,637.0,436.0,2.75,1199,0.5734,0.20851,3.06,4.55,2022-01-14,2025-04-01,2025-04-02,1173,1,2025,Total,yes,
Bob Moses,The Silence in Between,the silence in between,The Silence in Between | United States | 4/7/25,Showcase,ALBUM,United States,USD,249.6,249.6,11596.0,624.0,591.0,6.39,3776,0.4223,0.06609,5.13,5.381,2022-03-04,2025-04-07,2025-04-21,1130,14,2025,Total,yes,
Boogie T,Choppa,choppa,Choppa | United States | 12/23/24,Showcase,SINGLE,United States,USD,998.2,998.2,118518.0,3565.0,3038.0,1.8,5468,0.3286,0.18254,2.6,3.008,2024-12-19,2024-12-23,2025-01-06,4,14,2024,Default Audience,yes,
